측정회원성별,측정나이,윗몸말아올리기,반복점프,등급
M,13,61,44,1
M,13,49,39,2
M,13,36,33,3
M,13,0,0,4
F,13,48,31,1
F,13,37,27,2
F,13,25,22,3
F,13,0,0,4
M,14,60,48,1
M,14,48,42,2
M,14,37,36,3
M,14,0,0,4
F,14,47,34,1
F,14,36,28,2
F,14,24,23,3
F,14,0,0,4
M,15,49,50,1
M,15,39,44,2
M,15,29,38,3
M,15,0,0,4
F,15,48,35,1
F,15,36,29,2
F,15,23,24,3
F,15,0,0,4
M,16,49,50,1
M,16,38,45,2
M,16,27,39,3
M,16,0,0,4
F,16,41,34,1
F,16,30,28,2
F,16,19,22,3
F,16,0,0,4
M,17,46,50,1
M,17,36,44,2
M,17,25,38,3
M,17,0,0,4
F,17,41,33,1
F,17,29,27,2
F,17,18,21,3
F,17,0,0,4
M,18,53,52,1
M,18,41,46,2
M,18,20,40,3
M,18,0,0,4
F,18,41,36,1
F,18,29,29,2
F,18,16,23,3
F,18,0,0,4
